hgnc_symbol,stage_I,stage_II,stage_III,stage_IV
KRTCAP2,817,975,478,881.5
ARPC2,14934.5,16379,7710,12146
CCT3,473.5,457,1077.5,488
SSR2,988,1201,568,539
RNF25,3.316,0.088,0.0345,44.975
CCDC141,71.5,281,46.5325,23.5265
EOMES,0.678,0.18,0.1375,272.5
CWC22,389,232,36,946
AZI2,81,269,243.016,38.425
TGFBR2,698,238,10.0325,405.5
ANKZF1,42.85,16,983,249.55
FCRL4,0.85,0.053,303.5,1.05
TRAT1,2248.5,1679,1648,1960.5
STT3B,162.9,1063,13.65,423
CHCHD4,4.915,0.61,0.065,0.0265
SGO2,0.3395,0.18,1.065,0.0265
SERPINI1,0.34,0.07,0.765,0.075
CLASP2,56.516,396,0.255,24
SUCLG1,506.5,693,134.5,260
NUAK2,0.021,0.018,0.016,0.09
PRKCI,78.71,394,0.6,1522
MNDA,0.385,25,0.33,0.615
PYHIN1,2268,297,1174.5,939
IFI16,5424,6125,3138.5,9210.5
AIM2,0.916,859,11.405,44.55
EIF5A2,29.905,37,1.55,0.95
RPL22L1,44.695,930,245.5,18.1
FABP1,0.975,3.1,63.5,58.95
SNHG16,889.5,1395,70.15,265.5
CTLA4,1493.5,1807,1349,399.5
ICOS,1158.5,1601,1065,699
RYBP,1255.5,501,250.5,276.5
PPP4R2,726,1326,740.5,350.5
CD200R1,749.5,44,0.095,214.5
GTPBP8,149.305,555,5.016,261
NEPRO,89.095,103,1032.5,57
SPICE1,20,304,0.08,0.013
WDFY3,0.0485,0.018,0.016,0.0265
COX18,30,42,295,0.013
PTPN13,217.016,5.9,728.5345,203.55
ALB,53.55,1.7,0.29,0.0645
THOC7,704.5,1061,47,317.5
ATXN7,961.5,670,427,354
PSMD6,1141,1395,195.16,786.5
PPM1K,215.5,739,218.5,1381.5
GMPS,198.58,156,24.065,284.25
TIPARP,1620.5,864,283,402
CCNL1,1928,3140,781.5,1214
SLMAP,110.5,57,103.595,70.5
RPL9,4032.5,5382,3978,3661.5
SMIM14,24.55,203,49.33,197.7
RPP14,28.41,15,50.0355,12.6
DNASE1L3,0.5,0.053,0.1185,0.2015
RBM47,14.45,0.35,0.1185,202.525
U2SURP,1272,2424,456.5,1898.5
MTMR14,128.1,2.4,0.0325,125.65
TTC14,125.145,138,3.45,727
CXCL3,53.74,0.14,1.12,0.22
CXCL1,12.87,1,0.87,0.355
RCHY1,195.05,41,2.55,0.51
CPA3,14.5,0.28,2.535,104.8
GYG1,375.45,1085,131.79,264.5
HPS3,77,0.33,356.0325,30.7
TOPBP1,163.7,153,291,214
RYK,56.45,8,25.0325,2.475
SNRK,245.5,19,0.3,2.085
SLC4A1AP,182.5,299,399.5,125.125
KIAA1143,217.5,122,135.5,717.5
KIF15,0.014,26,0.0985,0.0395
WDR43,647,243,387.5,689
ZDHHC3,32.21,189,10.595,0.355
CDCP1,0.014,0.053,0.016,0.215
LZTFL1,26,398,8.0485,4.35
FYCO1,179,132,586,2194
ELP6,23.21,87,0.156,0.055
DTX3L,655.5,356,274.5,1564.5
ZNF148,613.5,1278,6.175,226
SMIM12,87,455,584,117.75
ZMYM6,54.5,4.5,404.65,385
YEATS2,2.61,172,275.6,246
ZC3H12A,124.115,508,134.645,0.29
MEAF6,1245.5,1555,166.42,1354.2
SNIP1,192.615,30,1.235,6.25
POLR2H,105.385,135,0.2035,129.55
LIPH,0.0325,0.035,0.43,0.013
TMEM41A,0.0605,484,401.55,31.45
RPN1,532,359,95.5,227.5
SENP2,88.675,192,0.155,585.5
RFC4,30.065,191,110.71,226.25
RPL39L,18.775,13,0.0495,2.925
BAP1,307.5,99,0.067,109
TKT,86.1,7.9,0.112,29
PRKCD,7.016,340,12,0.625
RFT1,0.13,0.018,4.1825,0.09
SFMBT1,83.0325,0.14,58.8,2.195
GNL3,747.5,654,223.85,222.5
PBRM1,180,421,237,508.5
UVSSA,0.7825,0.088,0.0325,606.0265
TASOR,325.5,729,623,689.5
ARHGEF3,323.5,500,1.76,760
SLBP,295.29,546,274.175,29.855
LRPAP1,876.5,1528,828,781
SLC51A,7,1.3,0.016,0.025
UBXN7,231.5,229,29.5485,67.7
RNF168,997,1010,175.175,1684.4
PIGX,104.15,0.21,47.905,380.5
MELTF,0.016,0.018,1.1825,0.025
EXO5,0.0485,0.18,281,0.195
AIMP1,71.95,745,172.25,227
METAP1,97,347,0.41,136.5
DNAJB14,476.305,917,1510,678.5
H2AZ1,6793,8974,2949.5,4983
SLC9B1,2.25,5.5,0.376,0.925
SLC9B2,0.795,0.16,2.416,0.065
BDH2,57.935,86,129,224.5
PGRMC2,97.885,577,67,333
CAMP,0.028,0.018,0.17,0.013
CCDC51,0.0395,1.6,0.033,89.5
SHISA5,215.9,647,601,441
SPRY1,135.095,288,0.156,0.55
HSPA4L,0.285,0.14,0.482,0.22
MFSD8,100.516,529,1.045,213.5
ABHD18,67,0.11,101,147
MON1A,18.5,0.035,0.0325,0.013
RAD54L2,380.5,199,321.0345,1581.5
TEX264,154.5,0.23,163.5,58.575
DUSP7,62,0.67,6.016,219.5
PPM1M,99.21,0.23,57,0.965
WDR82,312,69,53.7,188.725
C4orf3,1206.5,2285,958,3336.5
HMGB2,3340.5,2321,3327.5,2048.5
SAP30,35.8,5.9,100.2,119.37
MAD2L1,0.27,64,1.3,66
ANXA5,1424.5,1321,1720.5,594.5
FBXO8,77.115,137,0.162,452
CEP44,23.565,0.14,0.115,256.5
HPGD,224.47,1257,756.5,135.5
NAA15,607,343,139.15,1292.5
ARFIP1,104.63,115,138.5,96.05
ICE1,74.0485,395,1.105,143
ANAPC10,311.5,12,271.0345,61.29
ABCE1,978.5,627,311.517,1027.25
OTUD4,968.5,169,216,174.55
LSM6,663,19,359,120.625
TMEM184C,285,80,1.15,128.5
PRMT9,38.58,551,26.355,60.5
ITGA2,4.35,0.07,0.017,0.235
MOCS2,390,7.4,0.225,844
TMEM161B,218,252,42.695,121.75
NDUFAF2,28.325,81,0.05,144.9
LMBRD2,65.1,17,1.5,185
NIPBL,1084,1544,720.5,740.5
SLC25A46,221.5,103,167,95
STARD4,554,275,18.9,0.27
PGGT1B,306.5,55,468.5,1431.5
ANKRD33B,58.5,0.32,236.5,0.85
PRRC1,787,127,14.516,297.25
AGGF1,194.65,38,1.87,97.8
WDR41,0.074,126,0.0485,0.215
NDUFS4,143.1,518,0.265,174.5
SPINK1,41.028,0.12,36.5325,0.055
GRPEL2,47.0325,429,2.2825,148
ARSK,204.5,1.1,0.05,0.08
SERINC5,3901,2132,1734.5,2320
CASP3,411,3.8,0.805,413.5
PRIMPOL,29,0.053,9.35,317.5
ERAP1,320.65,209,0.1195,103.685
ERAP2,399.75,1219,430,1120.5
CFAP97,231.3,649,27.095,80.6
RICTOR,1406,541,635.35,785.5
TENT2,259,176,540.2,215
EBF1,0.075,0.61,0.1025,4.325
ANKRA2,104.6,37,0.07,6.025
UBLCP1,72.065,121,132.517,160.8
UTP15,3.8775,54,28.2,23.2
NSA2,521,501,610.5,349
GFM2,10.565,31,0.2595,279.08
CCDC127,251.5485,0.44,0.017,9.5
ACSL6,0.195,48,0.0995,0.505
CSF2,364.5,265,79.517,57
SEPTIN8,28.5325,34,68.5,216.013
UQCRQ,2819.5,2078,1117,2037.5
SLC35A1,575.5,303,4.65,463.5
CGAS,32.016,14,9.4,91
CITED2,40.485,36,1.367,0.413
CREBRF,445.5,935,938.5,512.5
DCBLD1,0.023,0.018,0.017,3.313
SFXN1,1297.5,2563,1076,1313.5
SAMD3,241,737,0.817,3.355
PDSS2,5.63,0.035,309.516,0.013
STXBP5,24.645,669,368.516,0.405
STK17A,449,1397,332,700.5
TRA2A,3446.5,2580,2037.5,4142.5
GALNT10,79.25,173,594,527
SAP30L,39,214,41.516,0.33
RPS14,15085.5,15779,8568,10532.5
COG5,337.35,102,8,115.8
BMT2,14.5,55,1.2,0.825
SLU7,1108,756,675.275,846.5
RP9,41.15,282,77.5325,0.21
PTTG1,1817.5,1821,1020.5,481
CAMLG,605.5,793,640,242
ZNF12,55.91,0.37,78.516,360
CDCA7L,0.14,332,273,0.33
MIOS,46,250,0.13,0.31
SYTL3,860.5,683,633,726
FABP5,344.15,269,42.24,383.5
TAGAP,252.21,354,426.07,375.5
BRI3,42.985,37,132.79,4.75
LMTK2,50.516,0.18,25.15,10.5395
CTSB,1056.5,1858,915.5,959.5
PEX2,96,415,0.0495,619.445
RAD21,2064,2271,2453,1452
MED30,573,177,214.24,189.375
PHKG1,56,12,28.4,19.6
SPIDR,5.79,0.07,164.0485,5.15
ORC5,112.115,2.9,0.016,154.5
OSGIN2,6.74,0.035,1.2,0.0265
SUN1,5.885,0.75,4.83,85.5
OXR1,175.5,16,161,520.185
CDK5,123.007,151,0.016,146.025
SLC4A2,2.8,162,0.016,12.55
FASTK,223.5,106,0.0505,55.55
TMUB1,25.016,55,6.516,6.675
FMC1,4.75,0.33,0.017,424.5
PHAX,622,1429,64.6,1706
FOXK1,162,148,0.415,4.2
COX6C,1705.5,3333,2389,2135
YWHAZ,8428.5,9237,6790,5833.5
SLC25A32,29.65,79,3.766,29.225
DCAF13,306,574,594,556
TP53INP1,738.5,460,340,405.5
INTS8,47.065,50,21.516,0.36
VIRMA,1153,141,113.016,156
GEM,132.5,682,130.05,0.34
PDP1,89.05,60,1.216,974.695
TMEM67,0.7415,0.053,0.017,0.013
WASHC5,350.5,40,0.112,53.5
SNAPC3,0.016,0.018,71.5,140.645
TMEM65,419.25,359,34.86,0.065
PSIP1,1185.5,895,170.5,572.5
UBAP1,108.5,67,91.57,288
SYK,0.45,186,0.36,1.45
ABCA1,530,186,469.5,321
NFIL3,19.516,0.18,0.845,34.29
METTL2B,0.475,97,9.5,53.6
FXN,68,116,323,95.1
TMEM71,139.0485,205,0.0495,12.5
HGSNAT,106.25,7.1,0.017,340
KIF27,30.55,0.16,0.485,0.38
HNRNPK,2106,4334,1114,1917
FBP1,0.4395,0.035,0.4695,0.013
ZHX1,11.95,796,0.245,35.5
CYBB,52.55,3.6,53.45,7.4
DYNLT3,212.47,388,62.5,1106.5
MID1IP1,0.5,30,10.5,5.5
NCF1C,24.63,250,0.0485,0.53
PIGA,21.855,211,0.291,386.5
STRBP,3.1,70,476.5,287.75
GAPVD1,495.5,707,668.5,319
CARD19,108.695,237,180.5,71.125
ATP7A,127.5,72,159,16.685
NDUFB6,1462,2049,489.5,589
NOL6,71.5,0.053,0.033,2.9
AQP3,44.0485,94,140.517,14.555
TRMT10B,19.565,47,9,0.8
VCP,1269,748,602,1742.5
STOML2,172.35,305,103.725,234.5
BRWD3,129.58,0.053,35.016,23.225
OTUD1,10.08,0.11,0.095,0.33
ARHGAP12,1.4485,8.2,0.0485,545.1
FBXO33,140.0325,454,610.95,264
INTS6L,198.516,23,82.615,403.2
SPTSSA,50.95,1.3,82.66,0.33
WRN,100.5,174,0.766,61.5
MARCHF8,15.275,236,54.095,31.575
CFL2,13.5,156,9.065,1.125
SUGT1,282.85,782,101.5,874
GTF2A1,20.0485,35,0.065,475
PGM2L1,329,572,389,1374.5
CRYL1,170.5485,177,0.016,0.13
REEP3,303.25,120,4047,193.75
SKA3,0.007,0.96,100,0.0265
MICU2,252,740,257,256
PCF11,359,798,56.6,358.5
LRR1,23.145,1.4,140.5,48.3
RPL36AL,8425,12264,11080,13581
DNAAF2,185.325,226,234,230.5
ZNF22,946,49,417.725,104.5
KLHDC2,86.74,211,71.35,82.65
EML5,0.666,0.039,1.55,12.5
NEMF,1330,3308,2122.5,2457
RPUSD4,59.85,4.1,0.2025,443.5395
ARF6,5734.5,3411,2042.5,8957
KBTBD6,429.5,33,9.5,5.5265
FAAH2,76.065,31,311,0.13
NUDT5,486,998,746.5,338
ATP5F1C,1915.5,4115,961.5,1256
PRPF18,357.065,237,866.5,211
TAF3,859,645,797,337.5
VDAC2,1760,3950,976,2270.5
SLC18A2,24,103,0.325,114.5
PDZD8,1112,448,93.5,1266.5
FAM204A,602.5,622,118.5,579
NSD1,713,700,31.58,489
PRDX3,3284.5,2501,1641,2118.5
GHITM,2621.5,3446,2224.5,2484.5
TMEM52B,0.007,0.035,0.0325,0.013
PMPCA,57.71,386,0.0495,114
ENTR1,11.0325,0.26,5.8,85.62
TSC1,211,538,426.65,329
HPRT1,306.5,518,6.2,1116
BORCS5,153.55,47,63.095,261.025
ZMYND19,8.5,54,0.016,0.013
DDX21,992.5,2259,933,1282.5
BMS1,305.5,666,52.16,265.075
FUNDC2,324,823,2.65,362.5
METTL17,31.62,477,0.0495,134.725
C12orf50,0.014,0.07,0.016,0.0645
CASP7,105,135,374.5,162.5
BTNL9,0.4825,0.018,0.033,0.055
CCDC186,753,1173,92.6,927.5
METTL3,28.0325,2.4,197.5,743.595
E2F7,0.023,0.25,0.0325,0.065
ISCA2,178.5,353,523.5325,412
PSMC3,344.5,890,443.5,349
TC2N,929,541,38,30
CPSF2,12.805,280,0.375,157.1
MOAP1,183.5,406,0.34,217.5
IFI27L1,208.5,35,0.0325,73
IFI27,1.295,167,0.49,110.4
CLMN,0.055,0.088,0.1875,0.0265
PTER,10.16,35,0.0325,100.55
ARL5B,0.45,14,161.305,7.145
SMCO4,140.65,94,172.016,113.075
CEP295,36.675,306,38.45,248
TAF1D,396.65,660,768.5,593.5
CEP57,145.5,565,1018.5,385.5
TCP11L2,29.2,47,2.6,16.5
SPRED1,0.166,0.053,0.112,0.08
RAB8B,1920.5,2274,1191,1165.5
IKBIP,0.1785,0.26,2.975,32.675
RPUSD2,0.014,143,0.016,0.595
HIF1AN,158,2,4.84,339
NDUFB8,3161.5,3549,2494.5,2312
ZFYVE19,0.4685,0.035,0.0485,38
BRD7,290.85,115,63.79,879.5
CKB,13.0485,0.11,0.33,0.08
BTRC,0.0765,42,0.05,140.5
POLL,1.4485,0.018,0.95,27
BAG5,117.08,289,3.1985,2075
API5,139.45,440,1.25,958.5
NOLC1,786,171,0.565,316.65
COPS2,402,1380,1101.3,468.5
SGPL1,748.5,36,1.12,650
FRS2,27.565,326,0.097,0.23
CCT2,1793,944,1715.5,405.5
PCBD1,111,133,200.915,79.2
ARIH1,126.5,579,16.6,6.35
COX11,118.805,697,1.166,524.15
FAM227B,18.5,0.16,0.016,106.555
STXBP4,3.616,0.98,0.017,9.475
CUL5,1406,601,62.305,533.5
WBP1L,362.5,26,204.83,2307
BORCS7,264.2,533,0.165,275
PLEKHF1,42,213,94.5,0.08
ANAPC16,1427,1764,858,2023.5
APBB1,4.7,7.5,0.1535,45.145
TRIM44,169.5,491,203.57,22.55
ILK,202,128,43.565,578
TAF10,63.85,43,205,134
TPP1,511,381,241,132.95
CYB5A,181,637,414.016,505.5
ATP9B,231.615,373,0.445,0.17
PPFIBP2,6.5325,0.018,0.016,0.145
KIAA0355,81,3.8,35.76,276.6
SERPINB8,33.095,268,0.016,116
RIC3,0.355,33,38.516,69.7
IDH3A,137.05,537,1.445,737
XRRA1,240.5,147,139.5,609
RPL27A,6267.5,7016,2728,4371
CENPN,222.5,278,7.1,2.5
AKIP1,131.5,240,53.5325,222
ATMIN,170.5,32,18.5485,186
TMEM41B,58.175,100,313.517,319.8
LEO1,358.5,16,121.585,913.5
ZNF143,108.21,597,310.5,28.35
TMX3,152.5,44,331.5,99.4
WEE1,7.05,150,54.5,45.55
PRKCB,2082,290,330,410
HDGFL3,0.1365,0.65,0.07,0.08
MCM7,53.855,140,22.145,697.5
CLEC4E,0.0325,0.035,0.016,0.1895
ZNF3,31.95,175,7.0325,142.05
HSBP1P2,0.014,0.018,0.033,0.038
RIMKLB,0.25,0.035,0.15,12.375
TK2,45.75,14,0.0505,49.5
TMED3,59.92,84,211,203.175
SEC11C,714.5,2256,916.5,1428.5
NDEL1,202.5,181,6.065,1.1
RRAD,0.007,0.035,0.033,0.013
CIAO2B,239,469,259,521.5
HSP90B1,5284.5,2672,2928.5,1783
BLCAP,47.6,20,122.0325,37.025
ATF7IP2,100.5,157,62.24,711.5
TVP23A,0.342,1.2,1.3345,5.69
BEX3,70.25,198,1.78,90.5
COG1,44.74,62,89.45,35.805
PLEKHA7,0.065,233,0.0485,0.05
B2M,505682.5,733731,221518,449495
ZNF592,38.5325,0.28,182.516,6.825
CASC4,105.5,1225,243.17,36.675
AP1G1,1509,720,1077.5,1116
SLFN5,453.5,1831,618,1117.5
MARF1,370.5,666,269.5,255.5
SAAL1,16.516,0.28,56.145,362
PPIB,1417,2131,1701.5,1339.5
CIAO2A,349.5,511,338.05,219.2
FAM111A,2000,205,0.165,254.75
PCLAF,0.84,41,187.67,547.69
TMEM170A,664.5,620,154.5,182
ANPEP,0.122,0.035,0.0485,3.55
DCTN5,87,241,249.5,0.525
TERF2IP,1185,1393,1096,638
CLPX,190.2,691,0.097,726
NEMP1,0.265,0.14,0.033,19.625
VPS39,101,1.2,973.5,108.525
STAT6,135,160,527,158.6
PATL1,189,142,1.465,105
ATP23,2.121,91,153,1.463
MRPL16,93,6.4,25.5,467.2
PIP4K2C,43,134,669,41
MTMR10,4.71,492,0.0485,0.32
YWHAB,8939,5196,5901,4518.5
C15orf48,0.445,129,2.55,0.585
TSC22D4,51.2,11,166,0.655
,10.5415,0.018,3,0.34
DIS3L,0.6415,0.053,6,93.275
CCNDBP1,2629.5,375,621,2673.5
EPB42,4.7,13,22.5,1.65
SMAD3,110.0485,169,0.0655,346
MAP1A,0.007,35,0.0325,0.0265
RCCD1,0.016,0.035,0.016,0.105
AKTIP,263.5,670,6.785,420
MAPRE2,1629,763,39.5,1190
MARS1,167.5,233,49.3,149.5
MBD6,0.0345,0.018,0.05,0.13
PDIA3,4707.5,1564,1687.5,2812
NUDT21,1004.5,260,274.5,1367
NKX3-1,169.007,0.018,0.0345,2.8395
MEI1,167.5,1107,0.132,285.5
PBX3,388.45,0.035,0.08,0.165
GNGT2,23.34,50,0.016,154.65
PHB,660,1543,967.3,270
SNRPD1,681.5,482,346,782
FAM102A,252.5,55,51.36,166.29
GOLGA2,116,209,341.5,88.5
COQ4,11.05,11,77.5,193.7
URM1,14.08,183,268.5,36.25
SP2,10.095,0.035,0.0495,458
COQ7,78.885,116,0.14,12.025
CRK,268,0.28,25,0.735
FBXO22,117.305,0.39,363.985,0.295
TBC1D2B,178,497,298,627.75
NOD2,1,0.35,0.0345,0.0395
SNX20,243,234,0.175,200.75
HDHD2,0.865,0.21,222,163.765
ZNF91,70.06,68,51,185.55
CDK12,225.5,20,805,20.45
DUS2,44,3.1,146.5,0.445
POP5,655,169,374.55,665.5
ATP5MG,4859,8459,1494,3184.5
CD3D,9946.5,7912,3767.5,4946.5
TEPSIN,10.5485,0.053,17,4.1765
ACAA2,542.5,979,649,879
STIM1,830,2,518.5,591.5
RRM1,353,197,979.5,217
ZNF23,0.206,0.018,29.5,0.055
IRGQ,0.3325,0.19,7.0485,0.14
ZNF226,14.115,253,285.0485,189.075
ZNF180,46.5,0.11,166,0.375
VKORC1,95.2,1219,335.5,532
TPM4,1609.5,3170,1443.5,2447.5
RAB8A,1315.5,640,526,883.5
GPX4,1335,546,543.9,640
MIDN,39.5,115,13.75,11
JSRP1,22.5,26,10.25,19.15
GATAD2A,34.5,376,171.517,261.6
MVD,38.9,92,0.017,125.5
TRAPPC2L,682,362,0.31,659.5
ANKRD11,556.5,1088,1449,1080.5
SPATA33,18.516,13,0.0325,19.5
RPL13,7077.5,12209,4748.5,6080
ZNF641,31.5,320,91,92.775
TP53I13,8.66,1.1,0.017,41
KMT2D,13.95,126,0.016,131
RHEBL1,233.5,0.018,0.162,0.0265
TUBA1A,294,701,129.45,888.5
TUBA1C,92.15,41,73,102.8
ZNF701,371.514,0.018,389.5,8.635
SERTAD3,9.565,89,0.05,67.7
NCKAP5L,0.23,0.018,0.033,0.025
RAB4B,16.0315,39,41,0.75
AXL,5.675,0.25,3.1,0.23
NFKBID,26.66,191,36,0.365
LAIR1,81.34,0.18,26.07,53.05
LENG8,14.755,319,0.16,14.375
LAIR2,1044,324,820,1050
ZNF526,11.5325,0.18,0.016,0.0395
ZNF146,230.5,405,123.5,137.05
ZNF283,2.245,0.018,0.017,0.055
SPINT2,1.42,0.23,0.0995,48.775
YIF1B,46.65,85,96.55,637
EEF2,583,442,428.5,730.5
TMIGD2,204,29,136,241
CHAF1A,51,30,66.85,0.013
UBXN6,115.095,201,558.5,7.025
HDGFL2,14.5,0.018,0.221,39.5
SEMA6B,0.0505,0.14,0.0655,0.0395
ZNF444,0.232,0.035,0.0325,83.525
GLOD4,353.65,299,300,652.5
SLC43A2,0.27,0.018,0.2,0.08
TSR1,141.26,149,5.565,3.2
CYB5D2,34.63,94,91.016,358.5
ZNF83,39.016,5.4,0.2095,13.1
OTUB1,277.8,370,180.5,751
ANGPTL4,0.065,0.018,0.13,38
CD320,424.5,170,10.065,21.15
NDUFV1,205,67,34.16,383.6
CDK2AP2,669,605,862,544
PRDX2,2039,3633,955.5,1734
ZNF232,0.235,147,0.95,0.0765
CD300A,0.82,2.3,0.28,9.05
MRPL58,108.75,0.32,105.5,58
ATP5PD,716,1352,1089,685
SRP68,68.645,0.12,0.357,105.85
TMC8,540.5,651,61.5,733
TK1,11.34,432,106.0345,110.5
TMEM68,42.805,140,0.08,127.7
ZNF598,9.0325,0.018,0.016,176.81
MLST8,0.3385,0.07,0.017,365
E4F1,10.0325,3.2,244,3.025
ECI1,44.5345,188,0.033,1.5
KCTD5,226.5,64,3.78,0.163
SRRM2,264,693,642.5,869.5
NLRC3,181.95,29,156.017,51.125
SDHAF2,429,541,1098.5,217.5
DDB1,190.5,303,56.05,406.5
BEST1,79.5,92,17,64
FTH1,30529.5,46777,7573.5,28923
BSCL2,106.42,0.16,0.047,0.185
POLR2G,1119.5,631,399,312
SLC3A2,774.5,2056,261,1847
ATG16L2,1.15,2.5,1.8,426.5
C2CD3,107.016,354,0.485,0.675
TRANK1,77.5,11,515.5,581.5
TTC21A,0.014,0.035,0.016,0.013
RPSA,3099.5,3953,1886.5,1749
CTNNB1,7260,4338,3136.5,5065
ULK4,5.65,212,1.05,149.025
SF1,951.5,1674,1509,826
MAP4K2,22.45,100,0.205,48
CCDC88B,27.065,74,343,43.55
PNOC,0.125,0.07,0.115,0.22
COPS6,399.5,891,241,1564.5
PAFAH1B2,4850,2583,2849.5,3501
NUDT16L1,297.5,0.77,11.017,461.075
KIAA1586,516,530,139.8,4.05
RAB4A,102.38,0.12,506.14,0.95
SETD5,340.25,124,38.5,285.15
RNF187,92,133,153.5,52.55
HOOK3,112,491,300.5,123.5
MAPK1IP1L,3183,4057,1164.5,2499
DDIT4,919.5,2667,703.5,587.8
RBPJ,4931.5,6696,5301,5529.5
LMBRD1,1526.5,307,9.97,322
TTC39C,2975.5,2083,974.5,5144.5
GNG4,0.014,121,177.5,101.5
UBTD2,0.3465,0.18,0.016,0.025
POLR2J3,156.65,87,160.5,48.5
NKIRAS2,90.63,67,10.565,0.295
DNAJC7,534.5,1027,216.5,4.475
IRF2BP2,920.5,1619,76,448.5
NT5DC2,0.312,0.018,0.3435,27.55
SMIM4,45.95,80,128.0345,40
COA6,320.5,184,55,871
KIF5C,123.016,1001,0.115,241.5
BMI1,227.5,4.2,301.5,476.55
THAP11,56.75,596,3.1485,42.09
MMADHC,447.5,816,0.42,664
PDHB,1283.5,472,480.5,112.35
PXK,505,644,1328.485,81
H1-4,176.5,497,0.0345,110
PCMTD1,599,1052,305.5,966
KCTD6,0.0535,0.58,28.5,166
MPLKIP,34.45,138,187.517,104.5
IRF2,338.275,984,809,552
DEGS2,1.685,1.6,5.25,0.685
ARF4,2512.5,364,954,461.375
SEPTIN2,1309,2457,1887,1135
FILIP1L,15.21,0.018,0.095,10
DTYMK,77.25,0.91,0.0325,65
TAP1,863,274,266.5,456
ING5,88.5485,106,3.05,77.125
ATG4B,5.935,22,0.1725,197.05
MLKL,4.695,32,0.45,51.05
CMAHP,152,190,0.13,12.525
RFWD3,75.5,62,474,0.18
RHOH,1419.5,2487,541.5,684.5
COG7,4.35,0.11,0.016,128
CDC40,118.21,139,488,591
STIP1,182.55,223,605.8,142
RAB31,0.56,0.3,0.45,2
ATXN2L,7.58,17,4.6,544
POLR3D,1.19,217,28,1.213
FEN1,608,1.6,82.225,306.09
FNTA,71.016,647,185.105,528
TRAPPC11,10,3.9,0.016,0.105
ING2,9.8,2.7,45,415
CDKN2AIP,174.08,279,0.033,455.5
TMEM223,185.5,1.4,25.5,73.55
SLC20A2,9.55,244,63.87,2.26
TMUB2,2.1325,0.07,0.066,45.575
STAT3,1715,2666,1645,1265
ADAM9,9.84,0.12,0.0655,21.513
NDUFS5,2294.5,3312,1192.5,2113.5
LRATD2,30,0.018,0.065,0.013
LDLRAD4,489.5,2313,328.5,822
IL7R,4446.5,1343,4786,7066.5
TMEM208,172.15,552,98,344
AHCYL1,164.5,0.49,212.345,263.05
DNAJC21,364.5,612,6.8,231.63
PKIG,506.24,304,1348,112.1
CNNM3,72.645,263,0.0495,0.155
GSTM4,5.965,505,0.017,59.625
TET2,282,454,1320,1027
TCTN2,52.5,4.6,57,82.95
TSPAN5,63.115,2.4,214.517,29.175
ABHD15,394,41,44.049,111
SNTB2,193.24,486,0.1795,495.5
ZNF507,27.0325,0.3,204,2.355
STX18,133,0.11,12.76,158.5
NSG1,0.014,0.6,61.5,0.063
ZBTB49,1,143,0.0325,95.5
GFM1,118.516,473,349.5,202.075
DDX19A,2.88,257,337,315
ANKRD49,262.5,107,1068.5,182.8
USP39,147.5,100,342.5,127
TNIP2,160.065,99,612.5,64.25
C2orf68,417.5,138,784,1250.5
RNF181,477,1328,453,1342
VAMP5,645,1151,6.205,1171.5
LRRC28,50.26,0.11,0.1185,0.26
MAT2A,265.5,582,227.5,169.6
INPP5D,540.5,353,359.5,646
LETM1,1324,206,903,1161
CEP120,287,303,0.21,879.5
MFF,271,598,1002.017,1029
LGALS9,36.5,76,97.675,55.525
FEM1B,56.15,184,6.017,150.05
COMMD8,393.5,501,0.16,362.3
ATP5ME,1401.5,1450,1423,1567.5
UQCRFS1,1269.5,2066,72.9,1149.5
MAP2K1,340,324,22,298
HNRNPH1,37608,14800,16720,25355.5
MECP2,249.5,337,81.5,640.5
UPF3A,440,344,1.2345,109.675
DHRSX,21.55,53,0.0735,25.5
HSPBAP1,12.5485,1.5,0.017,0.0645
ASMTL,14.76,52,110.0085,18
SLC25A6,293.55,331,381,664.5
CSNK1G1,161,85,57.016,78.5
ZNF354A,35.516,12,114.0485,267.35
ATF5,20.016,211,2.1825,0.885
UBE2V2,271.5,1632,58.45,1174
ZBTB43,666,592,498.5,275
XPO6,66.74,110,176,151.7
NSMCE1,767,1360,165,238.5
CCDC126,110.5325,1.6,0.0505,112.025
NPIPB12,249.5,105,199.5,1455
CD2BP2,548,162,632.62,201.5
RGS14,49.355,225,0.033,97.5
LMAN2,1384,1145,526.5,1925
RAB24,30.21,3.2,42.71,26.5
PRELID1,772,1318,730,555.5
CA5B,34.5335,0.8,0.115,0.0665
SLC50A1,38.805,324,53.017,0.195
EFNA1,0.42,0.018,0.033,0.0265
CXCL10,2.725,0.053,0.8,0.09
NPIPB3,264,434,530,273
ZRSR2,97,247,101.4,96
NMD3,9.5,94,2.367,83
ADRB2,21.5,0.07,0.0325,0.255
,0.655,1.1,0.435,0.575
MRPL1,370.5,25,1065.3,187.05
PGM2,54.8,0.11,0.067,167.16
SLC33A1,12.0485,298,0.016,7.5
SNUPN,1.845,1.1,1.25,245
CRADD,88.095,686,0.0485,395.5
SIN3A,378.5,323,14.516,683.5
ARL13B,251.5,40,30.15,1.125
PTAFR,0.605,0.053,0.33,0.013
PTPN9,7,474,0.0325,0.5145
RNASE6,1.65,0.26,0.81,0.105
CXCL8,101.3,728,36,636.45
RASSF6,0.405,0.42,0.4545,176.45
